month_date_yyyymm,state,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy
202107,illinois,269900,-4.00E-04,0.0393,32216,0.0923,-0.2511,20696,6.00E-04,0.0037,356,-0.2458,-0.2645,143.75,6.00E-04,0.1599,1577,0.0073,-0.0772,407847.5151,-0.0225,0.0703
202107,virginia,378999,-0.0026,0.053,16402,0.1187,-0.2351,13636,-0.0207,0.2029,772,-0.1065,-0.3058,189.1367187,0.0069,0.1787,1923,-0.0138,-0.1122,553022.6313,-0.0179,0.0776
202107,vermont,350000,-0.021,0.0888,1692,0.0702,-0.454,992,0.0206,-0.0388,24,0,-0.4545,191.9934641,0.0025,0.2158,1916,-0.0224,-0.0562,538348.9867,-0.0319,0.1535
202107,indiana,239900,0.0019,0.009,8009,0.1766,-0.2552,7280,0.0288,0.1644,248,-0.1143,-0.1507,120.7184628,-0.0072,0.1221,1899,0.0142,-0.065,321529.0468,-0.0033,0.0496
202107,oregon,525000,3.00E-04,0.1564,7220,0.1365,-0.2933,6924,0.0064,0.1509,3072,0.1395,0.5059,282.3159785,0.0045,0.2175,1889,0.0048,-0.0649,711752.8358,0.0032,0.1718
202107,minnesota,324800,3.00E-04,0.0481,11359,0.1165,-0.2977,9400,-0.0784,0.0266,248,-0.2874,-0.1733,173.1601732,-0.0011,0.1218,1872,-0.0043,-0.074,415097.4389,-0.0211,0.027
202107,colorado,579900,-0.0084,0.1047,11921,0.1682,-0.4173,11168,-0.0461,0.0175,588,-0.0134,-0.25,261.8135377,-0.0115,0.1638,2185,7.00E-04,-0.069,1192111.903,-0.0111,0.2682
202107,pennsylvania,275000,-0.0177,0.0599,21342,0.1037,-0.2037,14836,-0.0478,0.1263,576,-0.1166,-0.25,148.3225806,-0.0094,0.178,1632,-0.0127,-0.0564,401294.6952,-0.0296,0.0684
202107,nebraska,259900,-0.0229,0.0037,2945,0.0871,-0.289,2124,0.0076,0.0432,76,-0.24,-0.4722,130.413716,0.0073,0.0797,1912,-0.024,-0.0358,340071.6609,-0.0244,0.1037
202107,utah,595000,-0.0045,0.2361,4854,0.1787,-0.3953,4924,-0.0368,0.1679,232,-0.3176,-0.6463,240.6435911,-0.0165,0.2612,2511,-0.0189,-0.0243,1155739.335,-0.066,0.3181
202107,kansas,219900,-2.00E-04,-2.00E-04,4167,0.1226,-0.3061,2956,-0.0634,0.0884,136,-0.4237,-0.0811,111.8677043,0.0079,0.1049,1880,0.0043,-0.0885,309228.9548,-0.0018,-0.0488
202107,north carolina,359000,-0.0014,0.0559,15035,0.1102,-0.4607,13152,0.0259,0.0745,736,-0.1712,-0.5619,163.3203125,0.0092,0.1509,1755,-0.0113,-0.1225,518116.9915,-0.0247,0.1022
202107,louisiana,275000,0,0.1013,8330,0.0936,-0.3856,4068,0.0485,-0.0397,168,-0.3,-0.5116,139.3728223,0.0111,0.1197,1945,-0.0107,-0.0124,383102.9283,-0.0088,0.155
202107,rhode island,419900,0.0344,-0.0107,1417,0.14,-0.2811,1496,-0.0603,0.1265,24,0.5,0.2,275.7352941,0.0102,0.1354,1555,0.0078,-0.0962,777858.2086,-0.0137,0.0486
202107,oklahoma,234737,0.0208,-0.0188,6457,0.1592,-0.3596,4456,0.0201,0.0681,180,-0.3182,-0.5,123.3576642,0.0235,0.0852,1818,-5.00E-04,-0.096,345089.8951,-0.0117,0.0813
202107,west virginia,179000,0.0231,0.0258,3099,0.0802,-0.3913,1588,0.0503,0.0312,44,-0.2143,-0.4211,93.65530303,0.0426,0.1197,1600,0.0101,-0.0318,280136.6829,0.0071,0.1321
202107,idaho,549900,-2.00E-04,0.3445,4356,0.2933,-0.1784,3720,0.098,0.281,128,-0.1579,-0.6322,272.4096517,0.001,0.3987,2140,0.0023,-0.0389,870427.6267,-0.0326,0.2927
202107,california,749900,-0.0248,0.0736,46158,0.1297,-0.1809,41260,0.0234,0.1628,1784,0.0229,-0.045,440.0625,-0.0234,0.1501,1777,-0.0062,-0.0485,1574292.204,-0.0524,0.1087
202107,arizona,450000,0.0112,0.1553,9222,0.1619,-0.2733,9556,-0.0132,0.2398,476,-0.2222,-0.4915,239.9038462,0.0138,0.2301,1946,-0.0079,-0.0606,701760.5356,-0.0433,0.115
202107,district of columbia,579000,-0.022,-0.1695,1793,-0.0218,0.2574,1096,-0.1917,0.0787,20,-0.1667,-0.2857,570.7897241,-0.008,0.0187,1027,-0.0015,-0.2124,924945.5147,-0.0378,-0.1078
202107,alaska,335000,-0.0059,0.0722,1707,0.1644,-0.3097,1056,0.0435,0.1429,36,0.5,0.125,195.1905059,1.00E-04,0.1063,1721,6.00E-04,-0.0202,393658.8003,-0.0195,0.0905
202107,missouri,249000,-0.0018,0.0831,10868,0.1893,-0.2687,8376,0.0619,0.2325,468,0.0354,0,133.1588963,0.0035,0.1655,1756,0.002,-0.0684,350907.0435,0.0029,0.1132
202107,wisconsin,279900,-2.00E-04,0.0178,10131,0.1684,-0.2627,7588,-0.0011,0.1812,120,-0.1667,-0.3023,151.3793103,0.0144,0.0995,1690,-0.0163,-0.0724,374136.2941,-0.0102,0.0404
202107,tennessee,344900,-0.0073,0.0608,10092,0.1738,-0.4255,9036,0.0522,0.0027,392,-0.0577,-0.5421,165.2112344,0.0087,0.1495,1793,0.0045,-0.115,532603.0205,-0.0062,0.1458
202107,new mexico,305000,0.0167,0.0816,4241,0.0624,-0.2313,2284,0.0439,0.0918,108,0.0385,0.08,152.5423729,0.0108,0.1016,1939,-0.0084,-0.0264,471560.2047,0.0153,0.1176
202107,north dakota,262000,-0.024,0.0921,1966,0.0497,-0.3218,908,-0.0173,-0.034,40,-0.6552,0,125.1788909,-0.0051,0.1047,2139,-0.0065,0.0023,310924.4893,-0.0059,0.1074
202107,massachusetts,649000,-0.0159,0.0469,9209,0.0205,-0.2615,7844,-0.2408,-0.0613,180,-0.25,-0.25,365.7056799,-0.0258,0.1862,1756,9.00E-04,-0.0911,1182807.621,-0.0149,0.1906
202107,iowa,227500,0.0352,0.017,7359,-0.074,-0.3579,3708,-0.1932,-0.093,864,-0.0924,0.7705,139.1806723,0.0278,0.0805,1583,0.0051,-0.0339,276487.0959,0.0232,0.0627
202107,maine,339900,0.0034,0.1368,3536,0.1802,-0.3571,2332,-0.0687,0.0619,56,0.2727,-0.2222,199.829932,0.0156,0.1652,1700,0.0119,-0.007,507674.1075,0.0029,0.1351
202107,arkansas,225000,0.0191,0.0742,5704,0.1349,-0.3873,3500,0.1076,0.1062,80,-0.3548,-0.5349,115.9810127,0.0205,0.1265,1851,0.0043,-0.0628,333621.6268,0.0097,0.1618
202107,florida,389000,0.0171,0.1291,55337,0.0803,-0.5136,34828,-0.0128,-0.0281,3080,-0.2444,-0.414,230.53125,0.0094,0.2068,1610,0.005,-0.0473,855574.0139,-0.0123,0.2199
202107,texas,349900,0.0291,0.1254,47786,0.1555,-0.3931,39292,0.022,0.0955,2704,-0.3629,-0.3052,164.25,0.0177,0.1727,2093,0.0017,-0.0585,508104.689,-0.0096,0.1214
202107,connecticut,489900,-0.0092,0.2295,7764,0.0774,-0.549,5060,-0.088,-0.1807,108,-0.3077,-0.5345,225.7904246,-0.0086,0.2338,2169,0.0039,0.0021,1143219.188,-0.0216,0.4159
202107,south carolina,325000,0.0383,0.1211,9534,0.1227,-0.5358,7248,0.0566,-0.0315,1036,0.295,-0.3426,143.4343434,0.0231,0.0968,1672,0.0069,-0.0427,518405.842,0.002,0.1636
202107,south dakota,279900,0.0107,0.0811,2219,0.0582,-0.3278,1172,-0.0168,0.054,24,-0.6,-0.3333,153.3859303,0.0184,0.1643,1792,-0.0334,-0.0913,356805.4877,0.0154,0.0748
202107,montana,515000,0.0685,0.2907,2889,0.1524,-0.3623,1608,-0.1007,0.0469,52,0.4444,-0.1333,258.3718245,0.0744,0.3657,2080,-0.0055,-0.0635,991539.0582,0.0258,0.3439
202107,wyoming,323000,0.0336,0.1138,1746,0.1272,-0.3874,896,-0.0427,-0.082,28,0,0,145.9390863,0.0167,0.1233,2152,-0.0032,-0.0232,890434.1798,0.1169,0.3053
202107,maryland,379900,0.0077,0.0351,9230,0.134,-0.1748,9076,-0.0044,0.33,420,-0.16,-0.3713,200.4577057,0.0027,0.138,1776,0.0011,-0.0714,518423.447,-0.0178,0.017
202107,georgia,369900,0.0275,0.1321,27628,0.1113,-0.4035,23640,-0.0171,0.0846,1336,-0.148,-0.5166,146,0.0157,0.1988,1896,-3.00E-04,-0.0999,525573.2872,0.0183,0.1717
202107,kentucky,249900,0,0.0436,6062,0.1817,-0.2717,4480,0.1078,0.2134,108,-0.5091,-0.413,128.4958428,0.0168,0.1465,1800,-0.0121,-0.0757,349740.4472,-0.0249,0.0919
202107,washington,579950,0.0016,0.16,8103,0.1158,-0.3938,10436,-0.0649,0.0316,1008,0.0161,0.0286,297.3292952,-0.0191,0.2054,1840,-0.016,-0.0923,797293.6988,-0.0016,0.1382
202107,new hampshire,424900,0.013,0.0827,2321,0.1105,-0.2664,2188,-0.112,0.1492,56,-0.0667,-0.4167,218.1053288,0.0118,0.1393,1920,8.00E-04,-0.0486,573633.2588,0.0162,0.1052
202107,alabama,270000,-0.0088,0.0465,9091,0.1538,-0.398,6560,0.1381,0.1233,348,-0.3741,-0.4161,129.6756757,0.0093,0.1218,1940,-0.0079,-0.0713,384728.5489,0.0059,0.1322
202107,mississippi,236640,0.0178,0.0756,4068,0.0748,-0.4416,2184,0.0321,-0.0619,112,0.2174,-0.2821,110.4447761,0.0188,0.088,2000,0.003,-0.0225,330837.796,0.0013,0.1708
202107,new jersey,445000,-0.0089,0.0023,25084,0.0599,-0.1966,15540,-0.0704,-0.0568,472,-0.1259,-0.2761,0,,-1,0,,-1,651191.5334,-0.0212,0.0131
202107,ohio,218112,-0.0081,-0.0195,14815,0.1808,-0.1502,14216,0.0428,0.3095,784,0.0208,0.4962,115.2579583,-0.0022,0.1085,1654,-0.009,-0.0697,307278.7805,-0.0156,0.0038
202107,delaware,380000,-0.0192,0.1082,1709,0.0976,-0.3868,1316,-0.006,0.104,212,-0.3837,-0.2933,179.5918367,0.0026,0.1431,1950,-0.0089,-0.0347,477949.9041,-0.03,0.0413
202107,hawaii,715000,0.0288,0.1304,4377,-0.0357,-0.3597,1540,-0.1005,-0.0587,96,-0.0769,1,573.3404711,0.017,0.0971,1184,0.0207,-0.0071,1295482.566,0.0094,0.129
202107,nevada,427146,0.0231,0.2032,6361,0.1302,-0.3796,4920,0.0549,0.0576,324,-0.2768,-0.19,229.7008547,0.0152,0.2195,1850,0.009,-0.0273,747714.4445,-0.001,0.2375
202107,michigan,259900,-4.00E-04,0.0192,17362,0.0987,-0.3292,15144,-0.0058,0.1181,528,-0.12,0.1681,156.6875,-0.0064,0.1143,1628,-0.0031,-0.0779,383938.4579,-0.0208,0.0699
202107,new york,560000,-0.03,0.0626,57328,0.0123,-0.1335,19740,-0.0825,-0.1375,900,-0.0426,-0.0217,226.6875,-0.0213,0.1176,1354,0.0173,-0.1042,1215842.064,-0.0419,0.1165
202106,virginia,379975,0.0133,0.0644,14662,0.11,-0.3716,13924,0.0388,0.2223,864,-0.2628,-0.2367,187.8316825,0.0245,0.1907,1950,-0.0066,-0.1106,563088.7434,-0.0022,0.1022
202106,california,769000,0,0.1616,40858,0.0801,-0.3351,40316,0.0546,0.1617,1744,-0.0113,-0.0136,450.59375,5.00E-04,0.2428,1788,-0.0061,-0.0456,1661262.645,-0.0257,0.2343
202106,district of columbia,592000,0.0305,-0.1542,1833,0.1252,0.3292,1356,0.1453,0.4364,24,0,0.2,575.406915,-0.0147,0.0485,1028.5,0.0581,-0.2381,961290.9086,0.0104,-0.0786
202106,montana,482000,0.0366,0.2203,2507,0.1859,-0.4928,1788,0.2521,0.03,36,0,-0.4,240.4842765,0.047,0.2781,2091.5,-0.0097,-0.0517,966554.0066,0.0405,0.3617
202106,arkansas,220782.5,0.0513,0.077,5026,0.0735,-0.4954,3160,0.108,-0.0436,124,0,0.0333,113.6563373,0.0234,0.1143,1843,0.0104,-0.0638,330432.2247,0.0226,0.1792
202106,nebraska,266000,0.0019,0.0427,2709,0.0691,-0.3747,2108,0.1358,0.0934,100,-0.4318,-0.5098,129.4709084,-6.00E-04,0.083,1959,-0.0106,-0.0121,348583.3241,-0.0062,0.1462
202106,maryland,377000,0.0053,0.0372,8139,0.1604,-0.3584,9116,0.1194,0.2647,500,-0.2138,0.0417,199.923136,0.0064,0.1444,1774,0,-0.0751,527817.5636,-0.0024,0.0532
202106,tennessee,347450,-0.0042,0.072,8598,0.1349,-0.5285,8588,0.1259,-0.0281,416,-0.3459,-0.5117,163.7897447,0.0155,0.1594,1785,-0.0039,-0.1239,535924.1042,0.009,0.1835
202106,iowa,219756,-0.0229,-0.0231,7947,0.0373,-0.3466,4596,0.0619,0.0728,952,-0.0364,1.4536,135.4104837,-0.005,0.0505,1575,-0.0013,-0.0414,270205.2516,0.0124,0.0304
202106,north dakota,268450,0.0241,0.1233,1873,0.0871,-0.3677,924,0.0596,-0.1047,116,-0.0938,8.6667,125.8149674,0.019,0.1072,2153,0.0117,0.0168,312772.7272,0.017,0.1176
202106,idaho,549999.5,0.0476,0.3769,3368,0.2894,-0.4397,3388,0.0887,0.1014,152,0,-0.6082,272.127156,0.0252,0.435,2135,0.0071,-0.035,899791.9731,-0.0186,0.4151
202106,maine,338750,-7.00E-04,0.1701,2996,0.2249,-0.4651,2504,0.1745,0.0982,44,-0.56,-0.1538,196.7611093,0.0091,0.164,1680,-0.0118,-0.0047,506224.8076,-0.0132,0.1787
202106,north carolina,359500,0.013,0.0624,13543,0.1011,-0.5536,12820,0.0991,0.0269,888,-0.319,-0.4702,161.8301817,0.0193,0.1531,1775,-0.0039,-0.1112,531242.4886,0.0035,0.1503
202106,south dakota,276950,0.0113,0.0739,2097,0.071,-0.408,1192,0.155,-0.0261,60,0.0714,0.6667,150.6206714,0.0278,0.1518,1854,0.012,-0.0683,351385.8302,0.0273,0.0672
202106,connecticut,494450,0.2364,0.2425,7206,-0.3602,-0.5801,5548,-0.0881,-0.1438,156,-0.381,-0.371,227.7581747,0.1255,0.2564,2160.5,0.0824,-0.0039,1168468.846,0.3005,0.4504
202106,alabama,272400,-0.0022,0.0527,7879,0.0217,-0.5176,5764,0.0802,-0.0117,556,-0.3505,-0.3653,128.4799253,0.0027,0.1167,1955.5,-0.0099,-0.0569,382472.7708,0.0053,0.1347
202106,colorado,584790,0.017,0.1301,10205,0.1776,-0.5212,11708,0.2633,-0.0095,596,-0.2074,-0.2624,264.8707801,0.01,0.2035,2183.5,0.0109,-0.0789,1205490.74,-0.0314,0.3389
202106,ohio,219900,0,0,12547,0.1737,-0.3126,13632,0.1277,0.2552,768,-0.0495,0.6271,115.512215,0.0165,0.1253,1669,0.0072,-0.056,312156.5542,-0.0147,0.0375
